broadcast,song_name,datetime
rmf-fm,Dua Lipa - Physical,08-03-20 02:53
rmf-fm,Pin - Konstelacje,08-03-20 02:57
rmf-fm,Lana Del Rey - Summertime sadness,10-03-20 01:06
rmf-fm,Varius Manx - Przebudzenie,10-03-20 01:10
rmf-fm,Sanah - Szampan,10-03-20 01:16
rmf-fm,Sheppard - Geronimo,10-03-20 01:20
rmf-fm,Filip Lato - Halo ziemia,10-03-20 01:26
rmf-fm,Kshmr & Marnik - Alone,10-03-20 01:30
rmf-fm,Lemon - Jutro,10-03-20 01:36
rmf-fm,Grzegorz Hyży‚ Tabb - Na chwilę,10-03-20 01:40
rmf-fm,Patryk Skoczyński - Dom,10-03-20 01:46
rmf-fm,De Mono - Kochać inaczej,10-03-20 01:53
rmf-fm,Los Lobos - Cancion del mariachi (morena de mi corazon),10-03-20 01:59
rmf-fm,Duke Dumont - Ocean drive,10-03-20 02:05
rmf-fm,Urszula - Dziś już wiem,10-03-20 02:09
rmf-fm,Foothills Feat. Dominique Le Mon - For good,10-03-20 02:15
rmf-fm,Jula - Milion słów,10-03-20 02:19
rmf-fm,Ewa Farna - Wszystko albo nic,10-03-20 02:21
rmf-fm,Cher - Believe,10-03-20 02:28
rmf-fm,Ava Max - Salt,09-03-20 02:57
rmf-fm,Elektryczne Gitary - Człowiek z liściem na głowie,10-03-20 02:32
rmf-fm,George Ezra - Shotgun,10-03-20 02:37
rmf-fm,Enej / Don / Rl9 - Wolę ciebie wolność,10-03-20 02:39
rmf-fm,Alan Walker/ava Max - Alone pt. ii,10-03-20 02:45
rmf-fm,Mesajah‚ Kamil Bednarek - Szukając szczęścia,10-03-20 02:49
rmf-fm,Szymon Wydra & Carpe Diem - Teraz wiem,10-03-20 02:53
rmf-fm,Shakira / Anuel Aa - Me gusta,10-03-20 02:58
broadcast,song_name,datetime
rmf-fm,Justin Timberlake - Can't stop the feeling!,14-03-20 00:06
rmf-fm,Sylwia Grzeszczak - Karuzela,14-03-20 00:10
rmf-fm,Natalia Zastepa - Nie zaluje,14-03-20 00:13
rmf-fm,Ava Max - Salt,14-03-20 00:21
rmf-fm,Michael Sembello - Maniac,14-03-20 00:23
rmf-fm,Bajm - Mysli i slowa,14-03-20 00:32
rmf-fm,John Mamann - Love life,14-03-20 00:34
rmf-fm,Marcin Maciejczak - Jak gdyby nic,14-03-20 00:41
rmf-fm,Urszula - Anioł wie,14-03-20 00:43
rmf-fm,Camila Cabello - My oh my,14-03-20 00:51
rmf-fm,Ewelina Lisowska - Nieodporny rozum,14-03-20 00:53
rmf-fm,Sigala - Sweet lovin`,14-03-20 00:57
rmf-fm,Rag'n'bone Man - Skin,14-03-20 01:05
rmf-fm,Kasia Kowalska - Baby blues,14-03-20 01:07
rmf-fm,Robin Schulz - In your eyes,14-03-20 01:17
rmf-fm,Goya - Tylko mnie kochaj,14-03-20 01:20
rmf-fm,Anna Wyszkoni - Z ciszą pośród czterech ścian,14-03-20 01:27
rmf-fm,The Weeknd - Blinding lights,14-03-20 01:31
rmf-fm,Hey‚ Edyta Bartosiewicz - Moja i twoja nadzieja,14-03-20 01:37
rmf-fm,Chłopcy Z Placu Broni - Kocham cię,14-03-20 01:41
rmf-fm,Yves V / Ilkay Sencan - Not so bad,14-03-20 01:48
rmf-fm,Kasia Popowska - Graj,14-03-20 01:54
rmf-fm,Edyta Bartosiewicz - Sen,14-03-20 01:56
rmf-fm,Ewa Farna - Nie przegap,11-03-20 00:10
rmf-fm,The Weeknd - Blinding lights,11-03-20 00:17
rmf-fm,Perfect - Ludzie niepowszedni,11-03-20 00:19
rmf-fm,Tabb‚ Sound'n'grace - Możesz wszystko,11-03-20 00:26
rmf-fm,Shakira / Anuel Aa - Me gusta,11-03-20 00:30
rmf-fm,Budka Suflera - Bal wszystkich świętych,11-03-20 00:37
rmf-fm,Urszula - Na sen,11-03-20 00:41
rmf-fm,Meduza/becky Hill - Lose control,11-03-20 00:49
rmf-fm,Martyna Jakubowicz - W domach z betonu (nie ma wolnej miłości),11-03-20 00:53
rmf-fm,Varius Manx - Pocałuj noc,11-03-20 00:57
rmf-fm,O.n.a. - Znalazłam,11-03-20 01:05
rmf-fm,Enej - Kamień z napisem love,11-03-20 01:09
rmf-fm,Lucas & Steve / Lumi!x - Perfect (lum!x remix),11-03-20 01:15
rmf-fm,Yugopolis & Marek Piekarczyk - Czy pamiętasz ?,11-03-20 01:19
rmf-fm,Ania Dabrowska - Z toba nie umiem wygrac,11-03-20 01:26
rmf-fm,Ava Max - Salt,11-03-20 01:30
rmf-fm,Liber‚ Sylwia Grzeszczak - Nowe szanse,11-03-20 01:36
rmf-fm,Ewelina Lisowska - Prosta sprawa,11-03-20 01:40
rmf-fm,Gabry Ponte / Mokaby / D.t.e / Lumi!x - The passenger (lalala),11-03-20 01:46
rmf-fm,Kombii - Awinion,11-03-20 01:52
rmf-fm,Ira - Powtarzaj to,11-03-20 01:56
rmf-fm,Dj Bobo - Somebody dance with me,08-03-20 00:06
rmf-fm,N'trance & Rod Stewart - Da ya think i'm sexy,08-03-20 00:10
rmf-fm,Ava Max - Salt,08-03-20 00:14
rmf-fm,Britney Spears - Born to make you happy,08-03-20 00:18
rmf-fm,Mikolas Josef‚ Fito Blanko‚ Frankie J - Acapella,08-03-20 00:22
rmf-fm,Nana - He's comin',08-03-20 00:24
rmf-fm,Corrs - Radio,08-03-20 00:28
rmf-fm,Avicii / Kygo / Sandro Cavazza - Forever yours (avicii tribute),08-03-20 00:32
rmf-fm,Chris Isaak - Wicked game,08-03-20 00:36
rmf-fm,Edyta Bartosiewicz / Róże Europy - Jedwab,08-03-20 00:42
rmf-fm,Ann Lee - 2 times,08-03-20 00:48
rmf-fm,Tiësto - Blue,08-03-20 00:52
rmf-fm,Unique Ii - Break my stride,08-03-20 00:54
rmf-fm,Jax Jones / Bebe Rexha - Harder,08-03-20 00:58
rmf-fm,Rihanna - Diamonds,08-03-20 01:13
rmf-fm,Robert Gawlinski - O sobie samym,08-03-20 01:19
rmf-fm,Harry Styles - Adore you,08-03-20 01:23
rmf-fm,Perfect - Niewiele ci mogę dać,08-03-20 01:28
rmf-fm,Marcin Sójka - Wróć,08-03-20 01:34
rmf-fm,Ewa Farna - Na ostrzu,08-03-20 01:40
rmf-fm,Cher - The shoop shoop song,08-03-20 01:45
rmf-fm,Lewis Capaldi - Before you go,08-03-20 01:49
rmf-fm,Kasia Kowalska - Alannah (tak niewiele chce),08-03-20 01:52
